,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
UTCtime**2024,9,25,12:7:53,**"Triangle – Human Leader, Robot Follower",,
(0,0.143569,0.0287139,9.801,-0.000305433,-0.0184787, -0.0119119)
(1,0.185444,-0.00837488,9.7699,-0.00427606,-0.0132863, -0.00916297)
(2,0.174676,0.0370888,9.79382,-0.00351247,-0.0117592, -0.0109956)
(3,0.149551,0.0514457,9.71965,0.0106901,-0.0074831, -0.0128282)
(4,0.168694,-0.0789632,9.72802,-0.00351247,-0.0140499, -0.00885754)
(5,0.677169,0.275175,9.19682,-0.0942259,0.0250455, 0.00778853)
(6,-0.0981058,-0.12323,9.78784,-0.0310014,-0.0221439, 0.0131336)
(7,-0.607777,-0.800399,9.61676,0.0216857,-0.0560469, 0.022602)
(8,0.522832,-0.120838,9.97329,-0.0264199,0.0305433, -0.0192422)
(9,-0.397209,-0.0681955,10.2724,-0.0267254,0.0426078, 0.0221439)
(10,-0.731007,-0.20339,10.7222,0.00167988,-0.0928515, -0.01237)
(11,0.15673,-0.0885344,9.83091,0.0413861,0.0711658, -0.0253509)
(12,-0.388834,0.0885344,9.27817,-0.0314596,0.0387899, 0.0885754)
(13,-0.811167,0.25005,9.59761,-0.000152716,-0.036041, -0.0268781)
(14,-0.75015,0.518046,10.2485,0.0444404,-0.0326813, -0.0132863)
(15,-0.0119641,-0.212961,9.734,-0.010232,-0.0905607, -0.03711)
(16,-0.087338,0.27996,9.45524,0.0116064,-0.0725402, 0.0)
(17,-0.0323031,0.241675,9.58565,-0.0361938,-0.132252, 0.0700968)
(18,0.607777,-0.735793,9.68854,-0.0354302,-0.0765108, 0.0846048)
(19,0.352941,-0.0801595,9.18724,-0.011301,0.0203113, -0.022602)
(20,0.75015,0.185444,10.185,-0.0276416,-0.0566577, -0.0691805)
(21,0.545564,0.0227318,10.0822,0.0280998,0.0184787, -0.00702495)
(22,0.525225,-0.00598206,9.9697,-0.000305433,-0.034972, -0.00595593)
(23,0.503689,0.133998,9.89911,-0.0120646,-0.0558941, -0.0135917)
(24,0.31346,0.265603,10.1037,0.00733038,0.0798706, -0.111636)
(25,-0.439083,-0.0490529,9.85006,0.0109956,-0.0397062, -0.161574)
(26,-0.422333,0.300299,9.84647,-0.052229,-0.03711, -0.0331394)
(27,-0.141177,-0.259621,9.5019,-0.000763581,0.000916298, -0.0126754)
